date,equity,s1_qqq_tqqq,s2_spy_spxl,s3_gld,s1_state,s2_state
2000-09-22,102103.68,46343.36,46343.36,9416.96,cash,cash
2000-09-25,102192.5,46350.57,46350.57,9491.35,cash,cash
2000-09-26,102208.66,46357.79,46357.79,9493.08,cash,cash
2000-09-27,102370.15,46365.0,46365.0,9640.14,cash,cash
2000-09-28,102279.04,46372.22,46372.22,9534.6,cash,cash
2000-09-29,102248.5,46379.44,46379.44,9489.62,cash,cash
2000-10-02,102233.52,46386.66,46386.66,9460.21,cash,cash
2000-10-03,102208.17,46393.88,46393.88,9420.42,cash,cash
2000-10-04,102170.71,46401.1,46401.1,9368.51,cash,cash
2000-10-05,102171.31,46408.32,46408.32,9354.67,cash,cash
2000-10-06,102161.54,46415.54,46415.54,9330.45,cash,cash
2000-10-09,102208.86,46422.77,46422.77,9363.32,cash,cash
2000-10-10,102297.7,46429.99,46429.99,9437.72,cash,cash
2000-10-11,102260.26,46437.22,46437.22,9385.81,cash,cash
2000-10-12,102461.56,46444.45,46444.45,9572.66,cash,cash
2000-10-13,102337.61,46451.68,46451.68,9434.26,cash,cash
2000-10-16,102331.31,46458.91,46458.91,9413.49,cash,cash
2000-10-17,102318.09,46466.14,46466.14,9385.81,cash,cash
2000-10-18,102311.8,46473.37,46473.37,9365.05,cash,cash
2000-10-19,102333.18,46480.61,46480.61,9371.97,cash,cash
2000-10-20,102370.14,46487.84,46487.84,9394.46,cash,cash
2000-10-23,102344.82,46495.08,46495.08,9354.67,cash,cash
2000-10-24,102357.57,46502.31,46502.31,9352.94,cash,cash
2000-10-25,102249.21,46509.55,46509.55,9230.1,cash,cash
2000-10-26,102215.24,46516.79,46516.79,9181.66,cash,cash
2000-10-27,102202.04,46524.03,46524.03,9153.98,cash,cash
2000-10-30,102226.9,46531.27,46531.27,9164.36,cash,cash
2000-10-31,102248.31,46538.51,46538.51,9171.28,cash,cash
2000-11-01,102236.85,46545.76,46545.76,9145.33,cash,cash
2000-11-02,102263.45,46553.0,46553.0,9157.44,cash,cash
2000-11-03,102296.97,46560.25,46560.25,9176.47,cash,cash
2000-11-06,102304.54,46567.5,46567.5,9169.55,cash,cash
2000-11-07,102298.28,46574.74,46574.74,9148.79,cash,cash
2000-11-08,102338.73,46581.99,46581.99,9174.74,cash,cash
2000-11-09,102373.99,46589.24,46589.24,9195.5,cash,cash
2000-11-10,102350.43,46596.5,46596.5,9157.44,cash,cash
2000-11-13,102358.02,46603.75,46603.75,9150.52,cash,cash
2000-11-14,102379.44,46611.0,46611.0,9157.44,cash,cash
2000-11-15,102414.72,46618.26,46618.26,9178.2,cash,cash
2000-11-16,102449.99,46625.51,46625.51,9198.96,cash,cash
2000-11-17,102462.77,46632.77,46632.77,9197.23,cash,cash
2000-11-20,102496.32,46640.03,46640.03,9216.26,cash,cash
2000-11-21,102493.54,46647.29,46647.29,9198.96,cash,cash
2000-11-22,102535.74,46654.55,46654.55,9226.64,cash,cash
2000-11-24,102540.57,46669.07,46669.07,9202.42,cash,cash
2000-11-27,102696.97,46676.34,46676.34,9344.29,cash,cash
2000-11-28,102692.47,46683.6,46683.6,9325.26,cash,cash
2000-11-29,102618.76,46690.87,46690.87,9237.02,cash,cash
2000-11-30,102750.95,46698.14,46698.14,9354.67,cash,cash
2000-12-01,102732.61,46705.41,46705.41,9321.8,cash,cash
2000-12-04,102807.7,46712.68,46712.68,9382.35,cash,cash
2000-12-05,102794.56,46719.95,46719.95,9354.67,cash,cash
2000-12-06,102968.28,46727.22,46727.22,9513.84,cash,cash
2000-12-07,102941.3,46734.49,46734.49,9472.32,cash,cash
2000-12-08,102921.25,46741.77,46741.77,9437.72,cash,cash
2000-12-11,102859.67,46749.04,46749.04,9361.59,cash,cash
2000-12-12,102901.91,46756.32,46756.32,9389.27,cash,cash
2000-12-13,102842.07,46763.59,46763.59,9314.88,cash,cash
2000-12-14,102875.66,46770.87,46770.87,9333.91,cash,cash
2000-12-15,102930.01,46778.15,46778.15,9373.7,cash,cash
2000-12-18,102922.08,46785.43,46785.43,9351.21,cash,cash
2000-12-19,102936.64,46792.72,46792.72,9351.21,cash,cash
2000-12-20,103068.86,46800.0,46800.0,9468.86,cash,cash
2000-12-21,103104.19,46807.28,46807.28,9489.62,cash,cash
2000-12-22,103108.38,46814.57,46814.57,9479.24,cash,cash
2000-12-26,103154.83,46829.14,46829.14,9496.54,cash,cash
2000-12-27,103207.47,46836.43,46836.43,9534.6,cash,cash
2000-12-28,103118.24,46843.72,46843.72,9430.8,cash,cash
2000-12-29,103127.63,46851.01,46851.01,9425.61,cash,cash
2001-01-02,103033.97,46365.29,46365.29,10303.4,cash,cash
2001-01-03,103040.74,46372.5,46372.5,10295.73,cash,cash
2001-01-04,103013.02,46379.72,46379.72,10253.58,cash,cash
2001-01-05,103048.53,46386.94,46386.94,10274.65,cash,cash
2001-01-08,103076.39,46394.16,46394.16,10288.07,cash,cash
2001-01-09,103067.84,46401.38,46401.38,10265.07,cash,cash
2001-01-10,102965.39,46408.6,46408.6,10148.18,cash,cash
2001-01-11,102954.93,46415.83,46415.83,10123.27,cash,cash
2001-01-12,102973.21,46423.05,46423.05,10127.11,cash,cash
2001-01-16,102975.29,46437.5,46437.5,10100.28,cash,cash
2001-01-17,102995.49,46444.73,46444.73,10106.03,cash,cash
2001-01-18,103061.69,46451.96,46451.96,10157.77,cash,cash
2001-01-19,103068.48,46459.19,46459.19,10150.1,cash,cash
2001-01-22,103163.43,46466.42,46466.42,10230.58,cash,cash
2001-01-23,103162.56,46473.66,46473.66,10215.25,cash,cash
2001-01-24,103115.71,46480.89,46480.89,10153.93,cash,cash
2001-01-25,103130.18,46488.12,46488.12,10153.93,cash,cash
2001-01-26,103071.84,46495.36,46495.36,10081.12,cash,cash
2001-01-29,103090.14,46502.6,46502.6,10084.95,cash,cash
2001-01-30,103208.09,46509.83,46509.83,10188.43,cash,cash
2001-01-31,103222.57,46517.07,46517.07,10188.43,cash,cash
2001-02-01,103344.36,46524.31,46524.31,10295.73,cash,cash
2001-02-02,103314.77,46531.56,46531.56,10251.66,cash,cash
2001-02-05,103254.52,46538.8,46538.8,10176.93,cash,cash
2001-02-06,103196.2,46546.04,46546.04,10104.11,cash,cash
2001-02-07,103199.19,46553.29,46553.29,10092.62,cash,cash
2001-02-08,103119.79,46560.53,46560.53,9998.72,cash,cash
2001-02-09,103124.7,46567.78,46567.78,9989.14,cash,cash
2001-02-12,103166.02,46575.03,46575.03,10015.97,cash,cash
2001-02-13,103165.19,46582.28,46582.28,10000.64,cash,cash
2001-02-14,103139.45,46589.53,46589.53,9960.4,cash,cash
2001-02-15,103006.41,46596.78,46596.78,9812.85,cash,cash
2001-02-16,103132.06,46604.03,46604.03,9923.99,cash,cash
2001-02-20,103057.6,46618.54,46618.54,9820.52,cash,cash
2001-02-21,103160.26,46625.8,46625.8,9908.66,cash,cash
2001-02-22,103193.93,46633.06,46633.06,9927.82,cash,cash
2001-02-23,103302.34,46640.31,46640.31,10021.72,cash,cash
2001-02-26,103521.9,46647.57,46647.57,10226.75,cash,cash
2001-02-27,103590.07,46654.83,46654.83,10280.4,cash,cash
2001-02-28,103566.27,46662.1,46662.1,10242.08,cash,cash
2001-03-01,103519.48,46669.36,46669.36,10180.76,cash,cash
2001-03-02,103422.87,46676.62,46676.62,10069.62,cash,cash
2001-03-05,103452.73,46683.89,46683.89,10084.95,cash,cash
2001-03-06,103375.28,46691.15,46691.15,9992.97,cash,cash
2001-03-07,103451.14,46698.42,46698.42,10054.29,cash,cash
2001-03-08,103622.8,46705.69,46705.69,10211.42,cash,cash
2001-03-09,103864.6,46712.96,46712.96,10438.68,cash,cash
2001-03-12,103885.66,46720.23,46720.23,10445.2,cash,cash
2001-03-13,103716.25,46727.5,46727.5,10261.24,cash,cash
2001-03-14,103550.67,46734.78,46734.78,10081.12,cash,cash
2001-03-15,103473.24,46742.05,46742.05,9989.14,cash,cash
2001-03-16,103414.98,46749.33,46749.33,9916.32,cash,cash
2001-03-19,103502.35,46756.6,46756.6,9989.14,cash,cash
2001-03-20,103555.22,46763.88,46763.88,10027.46,cash,cash
2001-03-21,103623.44,46771.16,46771.16,10081.12,cash,cash
2001-03-22,103595.84,46778.44,46778.44,10038.96,cash,cash
2001-03-23,103625.73,46785.72,46785.72,10054.29,cash,cash
2001-03-26,103651.79,46793.0,46793.0,10065.79,cash,cash
2001-03-27,103620.37,46800.29,46800.29,10019.8,cash,cash
2001-03-28,103581.29,46807.57,46807.57,9966.15,cash,cash
2001-03-29,103557.53,46814.86,46814.86,9927.82,cash,cash
2001-03-30,103529.95,46822.14,46822.14,9885.67,cash,cash
2001-04-02,103452.55,46829.43,46829.43,9793.69,cash,cash
2001-04-03,103524.61,46836.72,46836.72,9851.17,cash,cash
2001-04-04,103604.34,46844.01,46844.01,9916.32,cash,cash
2001-04-05,103611.26,46851.3,46851.3,9908.66,cash,cash
2001-04-06,103677.58,46858.59,46858.59,9960.4,cash,cash
2001-04-09,103638.52,46865.89,46865.89,9906.74,cash,cash
2001-04-10,103616.7,46873.18,46873.18,9870.34,cash,cash
2001-04-11,103677.28,46880.48,46880.48,9916.32,cash,cash
