GLD_delta,GLD_pre,QQQ->TQQQ_delta,QQQ->TQQQ_pre,XLE->XLE_delta,XLE->XLE_pre,XLV->XLV_delta,XLV->XLV_pre,date,total_equity
6518.77,70553.24,-42586.65,1140862.83,17339.93,187671.63,18727.96,142352.55,2012-02-01,1541440.25
12458.93,75731.12,-62073.31,1318781.43,27358.32,207227.19,22256.06,162061.13,2012-03-01,1763800.87
11956.37,86247.44,-60521.31,1459925.57,35544.48,225677.64,13020.46,192225.5,2012-04-02,1964076.15
-4186.04,97227.43,18922.39,1306917.52,-4436.61,251926.73,-10299.74,204756.26,2012-05-01,1860827.95
-16730.13,90838.21,89749.99,966290.1,-44502.15,241629.64,-28517.71,183403.59,2012-06-01,1482161.54
12162.73,72974.11,-55263.44,1268463.41,32352.87,194111.12,10747.83,167188.17,2012-07-02,1702736.81
334.68,85164.29,-651.37,1219011.71,890.26,226537.01,-573.57,179266.42,2012-08-01,1709979.43
6006.74,90646.32,-45082.3,1422388.5,18136.3,238960.86,20939.26,181065.65,2012-09-04,1933061.33
-1890.0,101245.38,8979.2,1406834.97,-4222.06,268507.37,-2867.13,210519.88,2012-10-01,1987107.6
-6806.89,95765.68,50627.57,1217035.25,-22091.82,258722.22,-21728.86,207652.74,2012-11-01,1779175.89
-1235.23,88989.17,828.09,1249665.51,1957.57,231467.9,-1550.42,184956.15,2012-12-03,1755078.73
-7435.28,86192.1,62433.36,1059851.38,-32838.31,242331.46,-22159.77,186761.53,2013-01-02,1575136.47
2868.38,77926.64,12479.67,1138849.3,-9144.4,224059.14,-6203.65,175065.23,2013-02-01,1615900.31
3422.77,76286.11,3033.91,1132817.57,-2117.48,214143.09,-4339.19,170930.74,2013-03-01,1594177.51
2756.98,80874.91,-7244.76,1198999.17,5761.31,216699.52,-1273.52,176064.17,2013-04-01,1672637.77
11376.63,76299.84,-33606.2,1282995.91,16660.07,216559.34,5569.5,177674.33,2013-05-01,1753529.42
11643.57,84818.33,-34545.1,1409127.25,10565.83,246022.83,12335.7,189269.69,2013-06-03,1929238.1
5382.34,85593.95,12503.65,1283908.49,-8145.99,250142.92,-9739.99,199880.44,2013-07-01,1819525.81
11301.87,95092.12,-55160.31,1571274.59,25973.77,257034.23,17884.67,204478.76,2013-08-01,2127879.7
-10782.0,114637.61,9669.8,1470272.66,-1379.07,277635.0,2491.27,214566.96,2013-09-03,2077112.22
21412.45,94849.51,-66441.61,1723174.61,27430.84,281825.99,17598.32,225389.19,2013-10-01,2325239.3
8201.86,118464.21,-38896.28,1843887.79,17890.43,319041.32,12804.0,251928.09,2013-11-01,2533321.42
18268.07,117317.03,-48198.75,1980286.32,22080.32,338576.03,7850.36,275522.48,2013-12-02,2711701.86
6542.3,136069.41,-34703.48,2066920.29,13870.48,365476.66,14290.71,283767.75,2014-01-02,2852234.11
-15684.23,146624.17,46360.98,1819533.15,-7742.5,356042.73,-22934.25,296598.72,2014-02-03,2618798.77
13021.55,140621.21,-66164.13,2255573.35,26346.1,382343.62,26796.48,294316.87,2014-03-03,3072855.04
6647.72,145506.02,5979.2,2162211.59,-9196.04,413924.99,-3430.88,321432.2,2014-04-01,3043074.79
-6513.07,152659.32,49579.03,2033005.04,-33779.57,422528.6,-9286.39,314732.05,2014-05-01,2922925.01
18086.44,141306.19,-65612.36,2336957.33,28335.94,395648.45,19189.98,313940.62,2014-06-02,3187852.59
6872.02,170045.44,-54994.46,2576068.25,22409.24,448191.2,25713.19,344044.3,2014-07-01,3538349.18
1344.18,172317.88,-9973.39,2484657.74,11591.13,450349.95,-2961.92,365915.63,2014-08-01,3473241.19
19647.3,169850.37,-69874.13,2770215.99,34218.71,469845.1,16008.12,380042.02,2014-09-02,3789953.48
7851.21,181895.96,-37958.35,2741855.44,27322.99,477404.47,2784.16,393787.41,2014-10-01,3794943.28
8588.62,182239.83,-7920.42,2727225.83,22845.74,484757.94,-23513.94,422345.4,2014-11-03,3816568.99
-2321.79,198366.3,9972.38,2783661.97,-6175.95,527654.36,-1474.65,411207.68,2014-12-01,3920890.31
10271.47,191840.44,-53554.68,2933649.39,27322.11,510295.57,15961.09,406452.8,2015-01-02,4042238.2
51.04,216887.62,-24835.44,3116211.39,135.77,576921.08,24648.64,428753.17,2015-02-02,4338773.26
