GLD_delta,GLD_pre,QQQ->TQQQ_delta,QQQ->TQQQ_pre,XLE->XLE_delta,XLE->XLE_pre,XLV->XLV_delta,XLV->XLV_pre,date,total_equity
-32.06,5293.23,24.04,74947.7,4.49,13990.24,3.53,10992.33,2001-06-01,105223.5
-27.63,5307.48,20.72,75217.18,3.87,14040.54,3.04,11031.85,2001-07-02,105597.05
50.72,5244.57,-38.04,75495.96,-7.1,14092.58,-5.58,11072.74,2001-08-01,105905.85
-67.66,5386.33,50.75,75740.3,9.47,14138.19,7.44,11108.58,2001-09-04,106373.4
-352.64,5705.62,264.48,76015.5,49.37,14189.56,38.79,11148.94,2001-10-01,107059.63
227.26,5132.96,-170.44,76553.53,-31.82,14289.99,-25.0,11227.85,2001-11-01,107204.34
61.12,5314.26,-45.84,76645.08,-8.56,14307.08,-6.72,11241.28,2001-12-03,107507.7
-6.4,5400.56,4.8,76861.96,0.9,14347.57,0.7,11273.09,2002-01-02,107883.18
-118.41,5537.31,88.81,77130.41,16.58,14397.68,13.03,11312.46,2002-02-01,108377.85
-197.96,5644.17,148.47,77459.96,27.71,14459.19,21.78,11360.79,2002-03-01,108924.11
-73.3,5541.19,54.97,77862.5,10.26,14534.33,8.06,11419.83,2002-04-01,109357.86
-74.65,5565.23,55.99,78184.72,10.45,14594.48,8.21,11467.09,2002-05-01,109811.53
-308.2,5834.68,231.15,78521.29,43.15,14657.31,33.9,11516.46,2002-06-03,110529.74
223.59,5308.36,-167.69,78997.96,-31.3,14746.29,-24.59,11586.37,2002-07-01,110638.97
197.79,5347.64,-148.34,79170.67,-27.69,14778.53,-21.76,11611.7,2002-08-01,110908.53
-139.52,5718.35,104.64,79393.76,19.53,14820.17,15.35,11644.42,2002-09-03,111576.7
-83.65,5688.05,62.74,79799.92,11.71,14895.99,9.2,11703.99,2002-10-01,112087.95
14.67,5603.52,-11.0,80070.22,-2.05,14946.44,-1.61,11743.63,2002-11-01,112363.82
27.84,5575.21,-20.88,79864.32,-3.9,14908.01,-3.06,11713.43,2002-12-02,112060.97
-432.14,6093.54,324.11,80350.73,60.5,14998.8,47.54,11784.77,2003-01-02,113227.84
-387.17,6082.86,290.38,80873.23,54.2,15096.34,42.59,11861.41,2003-02-03,113913.83
335.54,5370.07,-251.66,81556.6,-46.98,15223.9,-36.91,11961.63,2003-03-03,114112.2
238.96,5461.17,-179.22,81406.1,-33.45,15195.81,-26.29,11939.56,2003-04-01,114002.63
1132.72,5812.9,-6999.37,105974.54,3285.32,15190.04,2581.33,11935.03,2003-05-01,138912.52
997.18,7443.56,1451.38,118829.12,-2131.56,24583.92,-317.0,17958.14,2003-06-02,168814.74
773.64,8083.52,-2149.72,128364.19,1531.2,22028.83,-155.11,18666.57,2003-07-01,177143.11
596.64,8787.21,-4623.89,138343.76,2273.59,22687.45,1753.66,17858.59,2003-08-01,187677.01
1046.42,10021.34,-7368.54,165084.08,2645.43,26794.81,3676.69,19454.92,2003-09-02,221355.15
-1018.48,11453.44,3506.13,145192.01,-1307.13,29064.12,-1180.51,22989.57,2003-10-01,208699.15
1948.15,10232.27,-10969.84,184540.71,4950.07,27449.83,4071.63,21385.44,2003-11-03,243608.24
-658.72,13029.26,2321.74,173958.43,-286.28,33191.92,-1376.73,27231.16,2003-12-01,247410.76
191.88,12730.57,2169.33,181975.58,-2450.43,36824.15,89.22,26918.7,2004-01-02,258449.0
1002.91,12401.34,-1268.6,192279.26,295.42,35359.9,-29.74,28044.64,2004-02-02,268085.15
86.41,13454.73,1660.22,191301.02,-2014.78,38034.21,268.15,28032.83,2004-03-01,270822.78
-1745.05,14438.51,3481.01,177400.82,-946.79,34711.4,-789.18,27318.51,2004-04-01,253869.24
191.68,11531.53,3770.04,163285.71,-4362.34,35546.08,400.62,24100.89,2004-05-03,234464.2
53.53,11943.24,-2245.9,173199.82,1105.38,30806.02,1087.0,23986.25,2004-06-01,239935.33
298.77,12040.24,-1476.05,177306.99,-660.95,33482.72,1838.23,23950.31,2004-07-01,246780.26
-836.78,12214.39,6069.9,156061.11,-3484.26,33748.71,-1748.87,25528.08,2004-08-02,227552.29
-66.05,11857.91,-804.55,168838.61,1008.63,30357.73,-138.03,24783.03,2004-09-01,235837.28
-82.98,12098.64,2614.7,168608.36,-2358.28,34319.92,-173.44,25286.15,2004-10-01,240313.07
-182.76,12238.35,7.42,171784.76,557.3,31510.57,-381.97,25578.15,2004-11-01,241111.84
1545.77,12821.47,-9383.05,214116.17,4606.63,33610.22,3230.65,26796.87,2004-12-01,287344.73
523.97,13620.06,-1880.68,203433.19,975.22,36647.92,381.49,29179.55,2005-01-03,282880.72
-1052.05,13841.56,10631.64,171618.81,-7055.69,41075.78,-2523.89,29253.95,2005-02-01,255790.11
-38.7,13129.75,3651.51,182895.99,-3482.7,38304.9,-130.11,27490.41,2005-03-01,261821.05
-500.13,12909.32,4008.08,172822.9,-2685.59,35694.04,-822.36,26757.57,2005-04-01,248183.83
209.79,12484.89,-2110.05,183009.3,2556.56,31211.3,-656.3,27188.19,2005-05-02,253893.68
1006.33,12295.01,-4660.35,194204.56,2676.85,32704.74,977.17,26822.64,2005-06-01,266026.96
-1292.23,13676.08,6393.98,170075.81,-3437.34,36378.37,-1664.4,27546.64,2005-07-01,247676.9
800.3,12508.55,-4110.63,193761.8,2128.8,33272.75,1181.54,26633.97,2005-08-01,266177.07
-829.73,13645.2,3841.11,178779.38,-2207.08,36296.23,-804.31,27588.65,2005-09-01,256309.46
-95.33,13453.06,-915.68,191263.37,-253.57,35785.14,1264.57,26653.09,2005-10-03,267154.65
-465.46,13159.18,1970.44,178915.01,-1238.13,35003.42,-266.84,26796.7,2005-11-01,253874.31
1477.73,13926.17,-8496.95,228002.51,3930.76,37043.61,3088.46,29105.69,2005-12-01,308077.98
-1219.99,16309.65,5512.36,209515.32,-3245.17,43383.67,-1047.21,32584.6,2006-01-03,301793.25
-220.26,16106.62,-642.81,227023.53,-585.88,42843.62,1448.95,31753.56,2006-02-01,317727.33
-307.78,15718.26,2326.37,217273.0,-818.68,41810.56,-1199.91,33407.81,2006-03-01,308209.63
-316.57,16061.51,-0.99,224366.49,-842.06,42723.62,1159.61,31747.33,2006-04-03,314898.95
-1830.21,17546.45,8934.25,215022.19,-4868.35,46673.55,-2235.7,35082.64,2006-05-01,314324.82
-700.59,15089.14,4028.42,201008.29,-1863.58,40137.1,-1464.24,31536.29,2006-06-01,287770.82
126.76,14301.14,-728.89,206326.56,337.19,38041.04,264.94,29889.39,2006-07-03,288558.13
-122.0,14924.46,701.5,210233.55,-324.52,39699.06,-254.98,31192.12,2006-08-01,296049.19
727.07,14300.76,-3329.51,217476.08,1934.01,38040.02,668.43,30739.73,2006-09-01,300556.59
619.06,14304.73,-1912.45,214576.55,1646.71,38050.59,-353.33,31544.06,2006-10-02,298475.94
1029.43,15481.39,-7027.84,242307.03,2738.29,41180.5,3260.12,31247.49,2006-11-01,330216.41
802.11,17253.48,-5986.82,263278.99,2133.6,45894.27,3051.11,34685.07,2006-12-01,361111.82
88.76,17537.46,1012.8,250160.89,236.1,46649.65,-1337.65,38176.46,2007-01-03,352524.47
13.79,18458.29,-388.71,263615.79,36.67,49099.05,338.26,38268.38,2007-02-01,369441.51
-1089.29,18642.01,4532.59,245593.68,-2897.52,49587.75,-545.78,37230.97,2007-03-01,351054.41
412.68,17560.72,-1044.31,257165.32,1097.74,46711.52,-466.11,38030.52,2007-04-02,359468.08
2251.52,18202.68,-10804.93,302277.24,5989.04,48419.12,2564.37,40184.9,2007-05-01,409083.94
1339.16,20377.52,-6854.72,316317.48,3562.18,54204.21,1953.38,43434.49,2007-06-01,434333.7
847.27,21252.54,-5220.78,320143.14,2253.75,56531.76,2119.76,44068.85,2007-07-02,441996.29
-553.96,22409.12,533.84,310902.1,-1473.54,59608.25,1493.67,44183.6,2007-08-01,437103.08
1190.37,22355.7,-6844.63,342376.18,3166.38,59466.17,2487.87,46723.42,2007-09-04,470921.47
784.71,25801.53,-4512.07,383365.89,2087.32,68632.06,1640.04,53925.19,2007-10-01,531724.66
780.26,28036.06,-9076.54,419709.15,2075.49,74575.93,6220.8,54005.32,2007-11-01,576326.47
