sleeve,vehicle,entry_date,entry_price,exit_date,exit_price,pnl_pct,hold_days,exit_reason
QQQ->TQQQ,TQQQ,2012-01-17,0.392,2012-11-01,0.5178,32.0954,289,wma_cross_below
SPY->SPXL,SPXL,2012-01-13,4.9639,2012-11-14,6.0061,20.9959,306,wma_cross_below
SPY->SPXL,SPY_DEF,2012-11-14,109.5633,2012-11-23,111.0854,1.3892,9,def_to_vehicle
QQQ->TQQQ,QQQ_DEF,2012-11-01,58.1454,2012-12-19,59.3916,2.1432,48,def_to_vehicle
QQQ->TQQQ,TQQQ,2012-12-19,0.5452,2012-12-28,0.4873,-10.6218,9,wma_cross_below
QQQ->TQQQ,QQQ_DEF,2012-12-28,57.2248,2013-01-24,59.6953,4.3172,27,def_to_vehicle
QQQ->TQQQ,TQQQ,2013-01-24,0.5489,2014-08-19,1.6967,209.1239,572,take_profit(200%)
SPY->SPXL,SPXL,2012-11-23,6.2443,2014-09-19,18.9581,203.6073,665,take_profit(200%)
SPY->SPXL,SPY_DEF,2014-09-19,166.4216,2014-11-07,167.7842,0.8188,49,def_to_vehicle
SPY->SPXL,SPXL,2014-11-07,19.1516,2015-08-21,18.6214,-2.7685,287,wma_cross_below
QQQ->TQQQ,QQQ_DEF,2014-08-19,89.9082,2015-10-28,104.8643,16.6349,435,def_to_vehicle
SPY->SPXL,SPY_DEF,2015-08-21,169.0807,2015-10-28,174.3998,3.1459,68,def_to_vehicle
SPY->SPXL,SPXL,2015-10-28,19.7022,2015-11-16,18.3346,-6.9412,19,wma_cross_below
SPY->SPXL,SPY_DEF,2015-11-16,170.4568,2015-11-20,176.464,3.5242,4,def_to_vehicle
SPY->SPXL,SPXL,2015-11-20,20.2871,2015-12-14,18.1298,-10.6336,24,wma_cross_below
QQQ->TQQQ,TQQQ,2015-10-28,2.3777,2016-01-07,1.9234,-19.1076,71,stop_loss(12%)
SPY->SPXL,SPY_DEF,2015-12-14,170.2462,2016-03-17,172.251,1.1776,94,def_to_vehicle
QQQ->TQQQ,QQQ_DEF,2016-01-07,98.4141,2016-03-30,101.9849,3.6284,83,def_to_vehicle
QQQ->TQQQ,TQQQ,2016-03-30,2.0553,2016-05-04,1.8067,-12.0961,35,wma_cross_below
QQQ->TQQQ,QQQ_DEF,2016-05-04,97.9233,2016-05-31,102.7301,4.9087,27,def_to_vehicle
QQQ->TQQQ,TQQQ,2016-05-31,2.0774,2016-06-21,1.9252,-7.3264,21,wma_cross_below
QQQ->TQQQ,QQQ_DEF,2016-06-21,100.248,2016-07-26,106.1324,5.8698,35,def_to_vehicle
QQQ->TQQQ,TQQQ,2016-07-26,2.253,2018-01-23,6.9739,209.5457,546,take_profit(200%)
SPY->SPXL,SPXL,2016-03-17,18.1298,2018-10-16,43.9896,142.6369,943,wma_cross_below
SPY->SPXL,SPY_DEF,2018-10-16,247.3076,2019-02-19,248.6448,0.5407,126,def_to_vehicle
QQQ->TQQQ,QQQ_DEF,2018-01-23,159.819,2019-02-27,165.2591,3.4039,400,def_to_vehicle
SPY->SPXL,SPXL,2019-02-19,41.6758,2019-06-04,41.313,-0.8704,105,wma_cross_below
QQQ->TQQQ,TQQQ,2019-02-27,6.0743,2020-03-03,10.568,73.9793,370,vol_exit(34.8%)
QQQ->TQQQ,QQQ_DEF,2020-03-03,209.2008,2020-03-13,180.2552,-13.8363,10,def_stop(18%)
SPY->SPXL,SPY_DEF,2019-06-04,250.3172,2020-07-28,298.5037,19.2502,420,def_to_vehicle
QQQ->TQQQ,TQQQ,2020-06-11,11.0715,2020-09-09,15.4304,39.3707,90,vol_exit(32.2%)
SPY->SPXL,SPXL,2020-07-28,45.7716,2021-12-28,141.2861,208.6763,518,take_profit(200%)
SPY->SPXL,SPY_DEF,2021-12-28,451.8775,2022-05-20,373.1326,-17.4262,143,def_stop(18%)
SPY->SPXL,SPXL,2023-01-30,69.502,2023-03-13,57.8714,-16.7342,42,stop_loss(12%)
QQQ->TQQQ,QQQ_DEF,2020-09-09,266.5305,2023-04-17,312.9988,17.4345,950,def_to_vehicle
SPY->SPXL,SPY_DEF,2023-03-13,367.015,2023-04-25,396.1764,7.9456,43,def_to_vehicle
SPY->SPXL,SPXL,2023-04-25,71.398,2023-10-26,69.9062,-2.0894,184,wma_cross_below
SPY->SPXL,SPY_DEF,2023-10-26,404.7559,2023-11-06,423.2418,4.5672,11,def_to_vehicle
QQQ->TQQQ,TQQQ,2023-04-17,13.2276,2024-07-08,40.3043,204.6999,448,take_profit(200%)
SPY->SPXL,SPXL,2023-11-06,79.4394,2025-03-11,140.1488,76.4222,491,wma_cross_below
SPY->SPXL,SPY_DEF,2025-03-11,552.8985,2025-05-21,583.3505,5.5077,71,def_to_vehicle
QQQ->TQQQ,QQQ_DEF,2024-07-08,492.5376,2025-06-11,533.7119,8.3596,338,def_to_vehicle
QQQ->TQQQ,TQQQ,2025-06-11,38.092,2026-03-20,45.18,18.6075,282,wma_cross_below
SPY->SPXL,SPXL,2025-05-21,150.6507,2026-03-23,193.26,28.2835,306,wma_cross_below
QQQ->TQQQ,QQQ_DEF,2026-03-20,590.3159,2026-03-23,588,-0.3923,3,end_of_data
SPY->SPXL,SPY_DEF,2026-03-23,658.07,2026-03-23,655.38,-0.4088,0,end_of_data
