date,total_equity,eq_target,gld_target,QQQ->TQQQ_pre,QQQ->TQQQ_delta,SPY->SPXL_pre,SPY->SPXL_delta,GLD_pre,GLD_delta
2001-01-02,103033.97,46365.29,10303.4,46865.6,-500.31,46865.6,-500.31,9302.77,1000.63
2002-01-02,107261.61,48267.73,10726.16,48287.49,-19.76,48287.49,-19.76,10686.64,39.52
2003-01-02,103019.34,46358.7,10301.93,50197.25,-3838.55,39527.57,6831.13,13294.52,-2992.58
2004-01-02,164658.8,74096.46,16465.88,55919.01,18177.45,96366.27,-22269.8,12373.53,4092.35
2005-01-03,351984.4,158392.98,35198.44,89406.87,68986.11,85873.27,72519.71,176704.26,-141505.82
2006-01-03,363426.12,163541.75,36342.61,149714.4,13827.35,170249.58,-6707.83,43462.14,-7119.53
2007-01-03,380005.34,171002.4,38000.53,171471.03,-468.63,165924.78,5077.62,42609.52,-4608.99
2008-01-02,451542.9,203194.31,45154.29,241792.13,-38597.82,157972.91,45221.39,51777.86,-6623.57
2009-01-02,384927.77,173217.5,38492.78,171450.1,1767.39,167594.39,5623.1,45883.27,-7390.49
2010-01-04,565138.73,254312.43,56513.87,269666.21,-15353.78,246458.17,7854.26,49014.34,7499.53
2011-01-03,734125.68,330356.56,73412.57,355837.62,-25481.07,307259.69,23096.86,71028.37,2384.2
2012-01-03,732101.22,329445.55,73210.12,326197.51,3248.04,322958.15,6487.4,82945.56,-9735.44
2013-01-02,974791.06,438655.98,97479.11,430900.46,7755.52,467276.34,-28620.36,76614.26,20864.84
2014-01-02,1891617.59,851227.92,189161.76,955624.95,-104397.03,865498.47,-14270.55,70494.17,118667.58
2015-01-02,2644866.13,1190189.76,264486.61,1261912.03,-71722.27,1200076.36,-9886.6,182877.74,81608.87
2016-01-04,2409139.66,1084112.85,240913.97,1183034.22,-98921.38,987562.07,96550.78,238543.37,2370.6
2017-01-03,2826825.91,1272071.66,282682.59,1054381.66,217690.0,1513781.93,-241710.27,258662.32,24020.27
2018-01-02,5339472.98,2402762.84,533947.3,2847351.72,-444588.88,2171873.9,230888.95,320247.36,213699.93
2019-01-02,5442029.47,2448913.26,544202.95,2675030.51,-226117.24,2249349.54,199563.72,517649.43,26553.52
2020-01-02,8726048.8,3926721.96,872604.88,4889810.26,-963088.3,3190577.82,736144.14,645660.71,226944.17
2021-01-04,12029415.47,5413236.96,1202941.55,5166157.2,247079.76,5757999.16,-344762.2,1105259.1,97682.44
2022-01-03,19600105.99,8820047.7,1960010.6,7063666.71,1756380.99,11425864.23,-2605816.53,1110575.06,849435.54
2023-01-03,15224671.83,6851102.33,1522467.18,5849968.54,1001133.78,7382904.96,-531802.64,1991798.33,-469331.15
2024-01-02,24370062.56,10966528.15,2437006.26,14686910.41,-3720382.25,7985707.16,2980820.99,1697445.0,739561.26
2025-01-02,40611933.57,18275370.1,4061193.36,19355861.64,-1080491.54,18120113.05,155257.05,3135958.87,925234.49
2026-01-02,56971390.88,25637125.9,5697139.09,26405030.22,-767904.32,23975650.49,1661475.4,6590710.17,-893571.08
