date,equity,QQQ->TQQQ_eq,QQQ->TQQQ_state,XLE->XLE_eq,XLE->XLE_state,XLV->XLV_eq,XLV->XLV_state,safety_gld,vix,vix_sma
2000-03-28,100742.8,71936.39,cash,13428.13,cash,10550.67,cash,4827.61,24.86,22.44
2000-03-29,100704.16,71947.59,cash,13430.22,cash,10552.31,cash,4774.04,24.1,22.57
2000-03-30,100723.41,71958.79,cash,13432.31,cash,10553.96,cash,4778.36,25.47,22.79
2000-03-31,100780.68,71969.99,cash,13434.4,cash,10555.6,cash,4820.7,24.11,23.03
2000-04-03,100781.79,71807.03,cash,13403.98,cash,10531.7,cash,5039.09,24.03,23.16
2000-04-04,100917.17,71818.21,cash,13406.06,cash,10533.34,cash,5159.56,27.12,23.3
2000-04-05,100872.29,71829.38,cash,13408.15,cash,10534.98,cash,5099.78,28.41,23.53
2000-04-06,100869.08,71840.56,cash,13410.24,cash,10536.62,cash,5081.66,27.15,23.77
2000-04-07,100878.56,71851.75,cash,13412.33,cash,10538.26,cash,5076.23,24.39,23.93
2000-04-10,100921.55,71862.93,cash,13414.41,cash,10539.9,cash,5104.31,25.99,24.09
2000-04-11,100934.11,71874.11,cash,13416.5,cash,10541.54,cash,5101.95,27.25,24.23
2000-04-12,100960.44,71885.3,cash,13418.59,cash,10543.18,cash,5113.37,28.98,24.56
2000-04-13,100967.2,71896.49,cash,13420.68,cash,10544.82,cash,5105.21,29.4,24.99
2000-04-14,101003.86,71907.68,cash,13422.77,cash,10546.46,cash,5126.95,33.49,25.55
2000-04-17,100989.44,71918.87,cash,13424.86,cash,10548.1,cash,5097.61,28.95,25.85
2000-04-18,100999.65,71930.07,cash,13426.95,cash,10549.74,cash,5092.9,26.12,26.07
2000-04-19,101008.24,71941.26,cash,13429.04,cash,10551.39,cash,5086.55,27.02,26.35
2000-04-20,101004.69,71952.46,cash,13431.13,cash,10553.03,cash,5068.08,25.85,26.53
2000-04-24,101035.47,71974.86,cash,13435.31,cash,10556.31,cash,5068.98,27.37,26.73
2000-04-25,101022.32,71986.07,cash,13437.4,cash,10557.96,cash,5040.9,25.24,26.76
2000-04-26,100990.16,71997.27,cash,13439.49,cash,10559.6,cash,4993.8,26.97,26.87
2000-04-27,101030.46,72008.48,cash,13441.58,cash,10561.24,cash,5019.16,26.19,26.98
2000-04-28,100981.09,72019.68,cash,13443.67,cash,10562.89,cash,4954.85,26.2,27.01
2000-05-01,100998.21,71961.23,cash,13432.76,cash,10554.31,cash,5049.91,25.88,27.1
2000-05-02,101052.46,71972.43,cash,13434.85,cash,10555.96,cash,5089.22,28.5,27.32
2000-05-03,101115.94,71983.63,cash,13436.94,cash,10557.6,cash,5137.76,31.63,27.55
