sleeve,vehicle,entry_date,entry_price,exit_date,exit_price,pnl_pct,hold_days,exit_reason
QQQ->TQQQ,TQQQ,2016-03-30,2.0553,2016-04-29,1.8656,-9.2299,30,wma_cross_below
XLV->XLV,GLD_DEF,2015-08-25,110.01,2016-05-05,122.63,11.4717,254,def_to_vehicle
QQQ->TQQQ,TLT_DEF,2016-04-29,96.0417,2016-05-26,97.254,1.2622,27,def_to_vehicle
QQQ->TQQQ,TQQQ,2016-05-26,2.0255,2016-06-20,1.9471,-3.8693,25,wma_cross_below
QQQ->TQQQ,TLT_DEF,2016-06-20,100.7797,2016-06-24,102.5589,1.7655,4,def_to_vehicle
QQQ->TQQQ,TQQQ,2016-06-24,1.7901,2016-06-27,1.7159,-4.1411,3,wma_cross_below
QQQ->TQQQ,TLT_DEF,2016-06-27,103.9329,2016-07-07,106.8692,2.8253,10,def_to_vehicle
XLV->XLV,XLV,2016-05-05,58.3976,2016-10-10,61.1441,4.7031,158,wma_cross_below
XLE->XLE,GLD_DEF,2014-09-30,116.54,2016-11-03,123.36,5.8521,765,def_to_vehicle
XLV->XLV,GLD_DEF,2016-10-10,120.16,2017-02-09,118.32,-1.5313,122,def_to_vehicle
XLE->XLE,XLE,2016-11-03,22.9694,2017-03-14,23.6388,2.914,131,wma_cross_below
XLE->XLE,GLD_DEF,2017-03-14,114.54,2017-10-03,120.72,5.3955,203,def_to_vehicle
QQQ->TQQQ,TQQQ,2016-07-07,1.9614,2018-01-04,6.0414,208.0229,546,take_profit(200%)
XLE->XLE,XLE,2017-10-03,23.8722,2018-02-06,23.9821,0.4603,126,vix_spike(2.2x_MA20)
XLV->XLV,XLV,2017-02-09,60.9432,2018-02-06,70.5312,15.7328,362,vix_spike(2.2x_MA20)
XLV->XLV,GLD_DEF,2018-02-06,126.54,2018-06-13,122.84,-2.924,127,def_to_vehicle
XLE->XLE,GLD_DEF,2018-02-06,126.54,2018-08-09,115.02,-9.1038,184,def_to_vehicle
XLE->XLE,XLE,2018-08-09,26.9391,2018-10-24,24.8385,-7.7973,76,wma_cross_below
XLV->XLV,XLV,2018-06-13,74.1338,2018-12-20,74.3569,0.301,190,wma_cross_below
QQQ->TQQQ,TLT_DEF,2018-01-04,98.0632,2019-02-25,97.3604,-0.7167,417,def_to_vehicle
XLV->XLV,GLD_DEF,2018-12-20,119.11,2019-02-27,125.17,5.0877,69,def_to_vehicle
XLV->XLV,XLV,2019-02-27,80.9667,2019-04-22,75.7408,-6.4543,54,wma_cross_below
QQQ->TQQQ,TQQQ,2019-02-25,6.2152,2019-06-04,5.786,-6.9061,99,wma_cross_below
QQQ->TQQQ,TLT_DEF,2019-06-04,106.469,2019-06-06,106.1286,-0.3197,2,def_to_vehicle
XLV->XLV,GLD_DEF,2019-04-22,120.46,2019-06-12,125.6,4.267,51,def_to_vehicle
XLV->XLV,XLV,2019-06-12,80.4824,2019-08-15,79.3804,-1.3692,64,wma_cross_below
XLV->XLV,GLD_DEF,2019-08-15,142.96,2019-09-24,143.21,0.1749,40,def_to_vehicle
XLV->XLV,XLV,2019-09-24,81.7847,2019-10-02,79.2203,-3.1355,8,wma_cross_below
XLV->XLV,GLD_DEF,2019-10-02,140.79,2019-11-06,140.12,-0.4759,35,def_to_vehicle
QQQ->TQQQ,TQQQ,2019-06-06,6.2402,2020-03-03,10.568,69.3535,271,vol_exit(34.8%)
XLV->XLV,XLV,2019-11-06,83.6991,2020-03-04,87.6345,4.7018,119,vol_exit(30.0%)
QQQ->TQQQ,TLT_DEF,2020-03-03,126.6036,2020-05-21,136.0714,7.4783,79,def_to_vehicle
XLV->XLV,GLD_DEF,2020-03-04,154.4,2020-08-12,182.61,18.2707,161,def_to_vehicle
QQQ->TQQQ,TQQQ,2020-05-21,9.7153,2020-09-09,15.4304,58.8249,111,vol_exit(32.2%)
QQQ->TQQQ,TLT_DEF,2020-09-09,135.9491,2021-02-26,117.3589,-13.6744,170,def_stop(14%)
XLV->XLV,XLV,2020-08-12,96.2155,2021-10-11,117.3816,21.9987,425,wma_cross_below
XLV->XLV,GLD_DEF,2021-10-11,164.04,2021-11-02,167.43,2.0666,22,def_to_vehicle
XLV->XLV,XLV,2021-11-02,124.1841,2022-01-25,118.2973,-4.7404,84,wma_cross_below
XLV->XLV,GLD_DEF,2022-01-25,171.95,2022-08-17,165.21,-3.9197,204,def_to_vehicle
XLV->XLV,XLV,2022-08-17,124.6026,2022-08-29,118.3982,-4.9794,12,wma_cross_below
XLV->XLV,GLD_DEF,2022-08-29,161.88,2023-01-24,179.56,10.9217,148,def_to_vehicle
XLV->XLV,XLV,2023-01-24,126.1334,2023-02-27,121.8975,-3.3583,34,wma_cross_below
XLV->XLV,GLD_DEF,2023-02-27,168.88,2023-04-21,184.98,9.5334,53,def_to_vehicle
XLV->XLV,XLV,2023-04-21,127.0326,2023-05-16,124.7123,-1.8265,25,wma_cross_below
XLV->XLV,GLD_DEF,2023-05-16,186.58,2023-06-28,177.23,-5.0113,43,def_to_vehicle
XLV->XLV,XLV,2023-06-28,124.5056,2023-07-11,123.4785,-0.8249,13,wma_cross_below
XLV->XLV,GLD_DEF,2023-07-11,179.43,2023-07-20,183.73,2.3965,9,def_to_vehicle
XLV->XLV,XLV,2023-07-20,127.0258,2023-09-22,124.3765,-2.0856,64,wma_cross_below
XLV->XLV,GLD_DEF,2023-09-22,178.65,2023-12-11,184.5,3.2746,80,def_to_vehicle
XLE->XLE,GLD_DEF,2018-10-24,116.38,2024-03-21,203.88,75.1847,1975,def_to_vehicle
QQQ->TQQQ,TQQQ,2023-02-01,10.9919,2024-06-06,33.2455,202.4539,491,take_profit(200%)
XLE->XLE,XLE,2024-03-21,42.9407,2024-08-06,40.7318,-5.144,138,vix_spike(2.2x_MA20)
XLV->XLV,XLV,2023-12-11,126.7924,2024-08-06,142.4691,12.3641,239,vix_spike(2.2x_MA20)
